74,53,msn.com,com,99249,230589,msn.com,com,74,53,99392,231171
75,10,gnu.org,org,98143,211443,gnu.org,org,75,10,98124,211332
76,54,tinyurl.com,com,97786,232117,tinyurl.com,com,76,54,98009,232223
77,55,m.facebook.com,com,97288,276997,m.facebook.com,com,78,56,97359,276975
78,56,oracle.com,com,97278,179429,oracle.com,com,79,57,96897,177441
79,57,accounts.google.com,com,96106,229742,accounts.google.com,com,77,55,97781,234950
80,58,reuters.com,com,95643,223861,reuters.com,com,80,58,95867,223932
81,59,wsj.com,com,95488,227779,wsj.com,com,81,59,95756,227877
82,60,bing.com,com,94403,222195,bing.com,com,82,60,94531,221947
83,61,imdb.com,com,94322,243921,imdb.com,com,83,61,94487,243819
84,62,washingtonpost.com,com,93364,230804,washingtonpost.com,com,84,62,93548,230972
85,63,l.facebook.com,com,92925,247980,l.facebook.com,com,86,63,92997,247804
86,3,slideshare.net,net,92702,205730,slideshare.net,net,85,3,93008,205949
87,64,virginmedia.com,com,92467,198463,virginmedia.com,com,90,67,91656,195296
88,65,domainmarket.com,com,92434,237599,domainmarket.com,com,87,64,92390,237230
89,66,wpa.qq.com,com,92046,841831,wpa.qq.com,com,89,66,92121,840179
90,67,fpdownload.macromedia.com,com,92014,212154,fpdownload.macromedia.com,com,88,65,92232,212351
91,68,opera.com,com,91501,226395,opera.com,com,92,69,91588,226357
92,69,cloudflare.com,com,91197,290937,cloudflare.com,com,91,68,91609,291642
93,1,mit.edu,edu,90811,190584,mit.edu,edu,93,1,91112,190994
94,70,wp.com,com,90584,283909,wp.com,com,95,71,90605,283897
95,71,wix.com,com,90582,211857,wix.com,com,94,70,90922,212481
96,11,wikimedia.org,org,90313,218107,wikimedia.org,org,96,11,90503,218219
97,2,harvard.edu,edu,90198,200888,harvard.edu,edu,98,2,90362,201303
98,72,ibm.com,com,89969,171765,ibm.com,com,97,72,90383,172315
99,73,bbc.com,com,89523,212538,bbc.com,com,99,73,89601,212244
100,74,live.com,com,88548,189412,live.com,com,101,75,88704,189658
